,State,County,FIPS,Year,Total_Chargers,Vehicles,VehiclesChevrolet,VehiclesChevrolet_pct,Total_Chargers_PM2,pclon10,pclat10
125,NY,Bronx,36005,2013,0.0,103,9.0,0.08737864077669902,0.0,-73.882363,40.849354
126,NY,Bronx,36005,2014,0.0,121,11.0,0.09090909090909093,0.0,-73.882363,40.849354
127,NY,Bronx,36005,2015,4.0,126,10.0,0.07936507936507936,0.09501187648456057,-73.882363,40.849354
128,NY,Bronx,36005,2016,4.0,142,15.0,0.1056338028169014,0.09501187648456057,-73.882363,40.849354
129,NY,Bronx,36005,2017,4.0,211,16.0,0.07582938388625593,0.09501187648456057,-73.882363,40.849354
130,NY,Bronx,36005,2018,9.0,332,16.0,0.04819277108433735,0.21377672209026127,-73.882363,40.849354
131,NY,Bronx,36005,2019,42.0,492,27.0,0.054878048780487805,0.997624703087886,-73.882363,40.849354
132,NY,Bronx,36005,2020,74.0,649,35.0,0.053929121725731895,1.7577197149643704,-73.882363,40.849354
133,NY,Broome,36007,2010,0.0,59,0.0,0.0,0.0,-75.93424499999999,42.121306
134,NY,Broome,36007,2011,2.0,63,3.0,0.047619047619047616,0.0028337843773467283,-75.93424499999999,42.121306
135,NY,Broome,36007,2012,2.0,102,18.0,0.17647058823529413,0.0028337843773467283,-75.93424499999999,42.121306
136,NY,Broome,36007,2013,2.0,129,21.0,0.16279069767441862,0.0028337843773467283,-75.93424499999999,42.121306
137,NY,Broome,36007,2014,2.0,158,22.0,0.13924050632911392,0.0028337843773467283,-75.93424499999999,42.121306
138,NY,Broome,36007,2015,14.0,162,23.0,0.1419753086419753,0.01983649064142709,-75.93424499999999,42.121306
139,NY,Broome,36007,2016,15.0,190,40.0,0.21052631578947367,0.02125338283010046,-75.93424499999999,42.121306
140,NY,Broome,36007,2017,23.0,258,49.0,0.18992248062015504,0.03258852033948737,-75.93424499999999,42.121306
141,NY,Broome,36007,2018,26.0,359,73.0,0.20334261838440112,0.036839196905507465,-75.93424499999999,42.121306
142,NY,Broome,36007,2019,28.0,404,79.0,0.19554455445544555,0.03967298128285419,-75.93424499999999,42.121306
143,NY,Broome,36007,2020,38.0,503,84.0,0.16699801192842942,0.05384190316958783,-75.93424499999999,42.121306
